url,title,clean_text,emotion
https://medium.com/swlh/dont-become-a-full-time-content-creator-if-you-have-low-risk-tolerance-13fa2f77791a,Don’t Become a Full-Time Content Creator If You Have Low-Risk Tolerance,dont become fulltime content creator lowrisk tolerance,joy
https://writingcooperative.com/how-my-mba-made-me-a-better-fiction-writer-d222bc61a5b0,"<strong class=""markup--strong markup--h3-strong"">How My MBA Made Me a Better Fiction Writer</strong>",strong classmarkupstrong markuphstronghow mba make good fiction writerstrong,joy
https://writingcooperative.com/how-to-start-your-novel-with-momentum-to-finish-it-8d001f4908c5,How to Start Your Novel with Momentum to Finish It,start novel momentum finish,joy
https://towardsdatascience.com/using-propensity-score-matching-to-build-leading-indicators-3e656dccbaf9,"<strong class=""markup--strong markup--h3-strong"">Using Propensity-Score Matching to Build Leading Indicators</strong>",strong classmarkupstrong markuphstrongusing propensityscore match build lead indicatorsstrong,joy
https://uxdesign.cc/sparkles-arent-good-ux-4b8199497c68,Sparkles aren’t good UX✨,sparkle arent good ux,joy
https://medium.com/swlh/how-ive-showed-up-to-write-on-the-internet-for-1000-days-b8d29c6a2817,How I’ve Showed Up To Write on the Internet for 1000 Days,ive show write internet day,joy
https://medium.com/swlh/heres-how-i-would-make-my-1-online-with-the-help-of-ai-if-i-had-to-start-over-e7a0042fc059,"<strong class=""markup--strong markup--h3-strong"">Here’s How I Would Make My $1 Online With the Help of AI if I Had to Start Over</strong>",strong classmarkupstrong markuphstrongheres would make online help ai start overstrong,joy
https://writingcooperative.com/ten-months-to-publication-so-who-is-kaye-macey-bcb577175d75,Ten Months To Publication: So Who Is Kaye Macey?,ten month publication kaye macey,joy
https://towardsdatascience.com/overcoming-automatic-speech-recognition-challenges-the-next-frontier-e26c31d643cc,"<strong class=""markup--strong markup--h3-strong"">Overcoming Automatic Speech Recognition Challenges: The Next Frontier</strong>",strong classmarkupstrong markuphstrongovercoming automatic speech recognition challenge next frontierstrong,joy
https://towardsdatascience.com/why-is-it-so-difficult-to-successfully-get-ai-technologies-adopted-into-clinical-care-4fa549d2c36,Why is it so difficult to successfully get AI technologies adopted into clinical care?,difficult successfully get ai technology adopt clinical care,love
https://medium.com/swlh/how-a-bag-of-broccoli-taught-me-an-unforgettable-lesson-about-startups-7663d43a56ad,"<strong class=""markup--strong markup--h3-strong"">How a Bag of Broccoli Taught Me an Unforgettable Lesson About Startups</strong>",strong classmarkupstrong markuphstronghow bag broccoli taught unforgettable lesson startupsstrong,joy
https://writingcooperative.com/how-to-write-better-character-description-498d81084c8a,How to Write Better Character Description,write good character description,joy
https://towardsdatascience.com/how-to-tackle-class-imbalance-without-resampling-47bbeb2180aa,How to Tackle Class Imbalance Without Resampling,tackle class imbalance without resampling,joy
https://uxdesign.cc/board-game-ux-a-study-on-visibility-of-system-status-fec51b30adbd,Board game UX: a study on visibility of system status,board game ux study visibility system status,joy
https://medium.com/swlh/it-took-3-years-for-anyone-to-notice-my-writing-and-im-so-glad-it-did-e03b218a39e1,It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It Did.,take year anyone notice writing im glad,joy
https://medium.com/swlh/6-micro-tricks-that-can-train-your-mind-to-create-more-content-a51ecae7bd4b,6 (Micro) Tricks That Can Train Your Mind To Create More Content,micro trick train mind create content,joy
https://towardsdatascience.com/google-application-credentials-python-ace518208a7,How to Set GOOGLE_APPLICATION_CREDENTIALS in Python,set googleapplicationcredentials python,joy
https://uxdesign.cc/so-are-fonts-cut-from-paper-now-6a936ccd0cc7,"<strong class=""markup--strong markup--h3-strong"">So, are fonts cut from paper now?</strong>",strong classmarkupstrong markuphstrongso font cut paper nowstrong,joy
https://medium.com/swlh/7-ways-to-efficiently-scale-up-your-content-generation-without-burning-out-6469654d3370,7 Ways To Efficiently Scale Up Your Content Generation Without Burning Out,way efficiently scale content generation without burn,joy
https://medium.com/swlh/4-hard-lessons-i-learned-after-i-quit-my-high-paying-job-to-write-full-time-52d13bab403f,4 Hard Lessons I Learned After I Quit My High-Paying Job To Write Full-Time,hard lesson learn quit highpaying job write fulltime,joy
https://writingcooperative.com/11-tips-for-writing-fantastic-product-descriptions-b19c71f96015,11 Tips for Writing Fantastic Product Descriptions,tip write fantastic product description,joy
https://writingcooperative.com/creative-exhaustion-ad5b160edf67,Creative Exhaustion,creative exhaustion,joy
https://uxdesign.cc/ageism-netflixs-mistake-board-game-ux-conditional-logic-in-figma-8ce86d02a379,"Ageism, Netflix’s mistake, board game UX, conditional logic in Figma",ageism netflixs mistake board game ux conditional logic figma,joy
https://uxdesign.cc/the-rise-of-digital-accessibility-building-the-business-case-b990a4fda213,"<strong class=""markup--strong markup--h3-strong"">The rise of digital accessibility: building the business case</strong>",strong classmarkupstrong markuphstrongthe rise digital accessibility build business casestrong,joy
https://towardsdatascience.com/what-stops-you-from-getting-your-first-data-science-job-ccf93e4187d4,"<strong class=""markup--strong markup--h3-strong"">What Stops You From Getting Your First Data Science Job?</strong>",strong classmarkupstrong markuphstrongwhat stop get first data science jobstrong,joy
https://medium.com/swlh/how-i-convinced-myself-to-stop-worrying-about-chatgpt-and-embrace-our-new-a-i-overlords-302c454d2bff,"<strong class=""markup--strong markup--h3-strong"">How I Convinced Myself to Stop Worrying About ChatGPT and Embrace Our New A.I. Overlords</strong>",strong classmarkupstrong markuphstronghow convince stop worry chatgpt embrace new ai overlordsstrong,joy
https://medium.com/swlh/how-content-creators-can-also-start-online-course-empires-236bc8c3434f,How Content Creators Can Also Start Online Course Empires,content creator also start online course empire,joy
https://medium.com/swlh/how-to-set-rates-as-a-freelancer-and-ensure-youre-getting-paid-what-you-re-worth-ff0e5e0f5063,How to Set Rates as a Freelancer and Ensure You’re Getting Paid What You’re Worth,set rate freelancer ensure youre get pay youre worth,joy
https://writingcooperative.com/thriller-suspense-vs-horror-suspense-e97c89270c64,"<strong class=""markup--strong markup--h3-strong"">Thriller Suspense vs Horror Suspense</strong>",strong classmarkupstrong markuphstrongthriller suspense v horror suspensestrong,joy
https://towardsdatascience.com/5-ways-to-apply-if-else-conditional-statements-in-pandas-b9627e5f475b,5 Ways to Apply If-Else Conditional Statements in Pandas,way apply ifelse conditional statement panda,joy
https://towardsdatascience.com/meaningful-experimentation-5-impactful-data-projects-to-help-build-better-products-1fb84afdfb2,Meaningful Experimentation: 5 Impactful Data Projects To Help Build Better Products,meaningful experimentation impactful data project help build good product,joy
https://towardsdatascience.com/zero-sum-games-and-mixed-strategies-21c158aecf07,Zero-sum Games and Mixed Strategies,zerosum game mixed strategy,joy
https://medium.com/swlh/7-ambitious-goals-every-startup-must-set-for-massive-success-c758d5f5b3d4,7 Ambitious Goals Every Startup Must Set for Massive Success,ambitious goal every startup must set massive success,joy
https://writingcooperative.com/a-new-writers-guide-to-big-audacious-goals-4275ce7ff369,"A New Writer’s Guide to Big, Audacious Goals",new writer guide big audacious goal,joy
https://towardsdatascience.com/reinforcement-learning-basics-1-understanding-stochastic-theory-underlying-an-mdp-e770be0665cf,"<strong class=""markup--strong markup--h3-strong"">Reinforcement Learning Basics: Understanding Stochastic Theory Underlying a Markov Decision Process</strong>",strong classmarkupstrong markuphstrongreinforcement learn basic understanding stochastic theory underlie markov decision processstrong,joy
https://towardsdatascience.com/pca-vs-autoencoders-for-a-small-dataset-in-dimensionality-reduction-67b15318dea0,PCA vs Autoencoders for a Small Dataset in Dimensionality Reduction,pca v autoencoders small dataset dimensionality reduction,joy
https://towardsdatascience.com/3-ways-to-gain-experience-in-data-science-even-in-a-non-data-science-job-d1fa01496721,3 ways to gain experience in data science even in a non-data science job,way gain experience data science even nondata science job,joy
https://medium.com/swlh/create-1-year-of-content-ideas-with-chatgpt-84a56c4480ed,Create 1 Year of Content Ideas With ChatGPT,create year content idea chatgpt,joy
https://medium.com/swlh/5-smart-ways-to-consume-content-as-an-entrepreneur-28545da3dee2,5 Smart Ways to Consume Content as an Entrepreneur,smart way consume content entrepreneur,joy
https://writingcooperative.com/3-simple-ways-to-improve-your-supporting-characters-2a4d80c2c4c4,3 Simple Ways to Improve Your Supporting Characters,simple way improve support character,love
https://medium.com/swlh/3-ways-you-can-improve-as-an-online-writer-without-buying-expensive-online-courses-9e79dc97170c,"<strong class=""markup--strong markup--h3-strong"">3 Ways You Can Improve as An Online Writer Without Buying Expensive Online Courses</strong>",strong classmarkupstrong markuphstrong way improve online writer without buy expensive online coursesstrong,joy
https://writingcooperative.com/how-writers-can-use-epistemic-humility-to-write-better-content-5d01e0215ea2,How Writers Can Use Epistemic Humility To Write Better Content,writer use epistemic humility write well content,joy
https://uxdesign.cc/hollywood-ui-lessons-of-design-love-letter-to-figma-the-ux-of-adhd-f0349c46a217,"Hollywood UI, lessons of design, love letter to Figma, the UX of ADHD",hollywood ui lesson design love letter figma ux adhd,joy
https://medium.com/swlh/ive-been-growing-my-site-for-18-months-here-s-what-i-achieved-151e8520ce45,I've Been Growing My Site For 18 Months — Here's What I Achieved,ive grow site month heres achieve,joy
https://medium.com/swlh/from-ordinary-to-extraordinary-4-ways-to-harness-the-power-of-unique-insights-in-your-content-9f518493653c,From Ordinary to Extraordinary: 4 Ways to Harness the Power of Unique Insights in Your Content,ordinary extraordinary way harness power unique insight content,joy
https://writingcooperative.com/yes-you-can-become-a-better-writer-624ef035a946,"Yes, You CAN Become a Better Writer",yes become good writer,joy
https://towardsdatascience.com/berxit-early-exiting-for-bert-6f76b2f561c5,"<strong class=""markup--strong markup--h3-strong"">BERxiT: Early Exiting for BERT</strong>",strong classmarkupstrong markuphstrongberxit early exiting bertstrong,joy
https://medium.com/swlh/enough-freelancing-go-get-a-real-job-ee0d52a2e2d5,"Enough Freelancing, Go Get a Real Job!",enough freelancing go get real job,joy
https://medium.com/swlh/how-to-create-an-online-business-that-makes-you-happy-even-when-your-job-is-ok-b90840412997,How to create an online business that makes you happy (even when your job is ok),create online business make happy even job ok,joy
https://medium.com/swlh/4-perfect-ways-to-polish-your-imperfect-writing-a8874ace5d1e,4 Perfect Ways To Polish Your Imperfect Writing,perfect way polish imperfect writing,joy
