title,authors,clean_text,emotion
The Great Gatsby,F. Scott Fitzgerald,great gatsby,love
Animal Farm: A Fairy Story,George Orwell,animal farm fairy story,surprise
The Da Vinci Code,Dan Brown,da vinci code,love
Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",harry potter halfblood prince,surprise
An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",excellent conceited tragedie romeo juliet,love
"The Lion, the Witch and the Wardrobe",C.S. Lewis,lion witch wardrobe,surprise
The Time Traveler's Wife,Audrey Niffenegger,time traveler wife,surprise
"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,eat pray love one woman search everything across italy india indonesia,love
"New Moon (Twilight, #2)",Stephenie Meyer,new moon twilight,surprise
Brave New World,Aldous Huxley,brave new world,love
The Secret Life of Bees,Sue Monk Kidd,secret life bee,surprise
Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",le petit prince,surprise
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",tale two city,love
Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",flickan som lekte med elden,surprise
Fifty Shades Darker,E.L. James,fifty shade darker,surprise
The Joy Luck Club,Amy Tan,joy luck club,love
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,divine secret yaya sisterhood,love
Great Expectations,Charles Dickens,great expectation,love
American Gods,Neil Gaiman,american god,surprise
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,marley life love world bad dog,love
Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,twilight complete illustrated movie companion,love
Elle s'appelait Sarah,Tatiana de Rosnay,elle sappelait sarah,surprise
Along Came a Spider,James Patterson,along come spider,surprise
How to Win Friends and Influence People,Dale Carnegie,win friend influence people,love
Under the Tuscan Sun,Frances Mayes,tuscan sun,surprise
Never Let Me Go,Kazuo Ishiguro,never let go,surprise
"PS, I Love You",Cecelia Ahern,p love,love
The Hunt for Red October,Tom Clancy,hunt red october,surprise
The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",voyage dawn treader,surprise
The Boy in the Striped Pyjamas,John Boyne,boy striped pyjama,surprise
She's Come Undone,Wally Lamb,shes come undone,surprise
City of Fallen Angels,Cassandra Clare,city fall angel,surprise
"Where'd You Go, Bernadette",Maria Semple,whered go bernadette,surprise
Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim",nesnesiteln lehkost byt,surprise
A Prayer for Owen Meany,John Irving,prayer owen meany,surprise
James and the Giant Peach,"Roald Dahl, Quentin Blake",james giant peach,surprise
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow",wonderful wizard oz,love
Stranger in a Strange Land,Robert A. Heinlein,stranger strange land,surprise
A Million Little Pieces,James Frey,million little piece,surprise
Island of the Blue Dolphins,Scott O'Dell,island blue dolphin,surprise
Greg Heffley's Journal,Jeff Kinney,greg heffleys journal,surprise
Hotel on the Corner of Bitter and Sweet,Jamie Ford,hotel corner bitter sweet,surprise
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,five love languages express heartfelt commitment mate,love
Les Trois Mousquetaires,Alexandre Dumas,le trois mousquetaires,surprise
Complete Harry Potter Boxed Set,J.K. Rowling,complete harry potter box set,surprise
Go Ask Alice,"Beatrice Sparks, Anonymous",go ask alice,surprise
The Purpose Driven Life: What on Earth am I Here For?,Rick Warren,purpose driven life earth,surprise
Betrayed: a House of Night Novel,"P.C. Cast, Kristin Cast",betray house night novel,surprise
If You Give a Mouse a Cookie,"Laura Joffe Numeroff, Felicia Bond",give mouse cookie,surprise
A Streetcar Named Desire,Tennessee Williams,streetcar name desire,love
Clockwork Princess,Cassandra Clare,clockwork princess,surprise
The Good Earth,Pearl S. Buck,good earth,love
The Brief Wondrous Life of Oscar Wao,Junot Díaz,brief wondrous life oscar wao,surprise
Wizard's First Rule,Terry Goodkind,wizard first rule,surprise
The Hunger Games Box Set,Suzanne Collins,hunger game box set,surprise
The Great Hunt,Robert Jordan,great hunt,love
The Complete Tales of Edgar Allan Poe,Edgar Allan Poe,complete tale edgar allan poe,surprise
The Amazing Adventures of Kavalier & Clay,Michael Chabon,amazing adventure kavalier clay,love
Perfect Chemistry,Simone Elkeles,perfect chemistry,love
Much Ado About Nothing,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",much ado nothing,surprise
Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",batman year one,surprise
Go Set a Watchman,Harper Lee,go set watchman,surprise
Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",little house prairie,surprise
Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",batman dark knight return,surprise
デスノート #1 (Desu Nōto) Taikutsu (退屈),"Tsugumi Ohba, Takeshi Obata",desu nto taikutsu,surprise
The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",absolutely true diary parttime indian,love
The Tale of Peter Rabbit,Beatrix Potter,tale peter rabbit,surprise
Love You Forever,"Robert Munsch, Sheila McGraw",love forever,love
Ensaio Sobre a Cegueira,"José Saramago, Giovanni Pontiero",ensaio sobre cegueira,surprise
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,id tell love id kill,love
La casa de los espíritus,"Isabel Allende, Magda Bogin",la casa de los espritus,surprise
Love the One You're With,Emily Giffin,love one youre,love
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,drum autumn outlander,surprise
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,new earth awaken life purpose,surprise
The Short Second Life of Bree Tanner,Stephenie Meyer,short second life bree tanner,surprise
Snow Falling on Cedars,David Guterson,snow fall cedar,surprise
The Lies of Locke Lamora,Scott Lynch,lie locke lamora,surprise
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,garden beast love terror american family hitler berlin,love
Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",crazy love overwhelm relentless god,love
Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",brave new worldbrave new world revisit,love
No Country for Old Men,Cormac McCarthy,country old men,surprise
Walden; or Life in the Woods,Henry David Thoreau,walden life wood,surprise
To All the Boys I've Loved Before,Jenny Han,boy ive love,love
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,angus thong fullfrontal snogging,surprise
When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",breath become air,surprise
Guess How Much I Love You,"Sam McBratney, Anita Jeram",guess much love,love
The History of Love,Nicole Krauss,history love,love
L'élégance du hérisson,"Muriel Barbery, Alison Anderson",llgance du hrisson,surprise
We Need to Talk About Kevin,Lionel Shriver,need talk kevin,surprise
Cloudy with a Chance of Meatballs,"Judi Barrett, Ron Barrett",cloudy chance meatball,surprise
Major Pettigrew's Last Stand,Helen Simonson,major pettigrews last stand,surprise
The Happiness Project,Gretchen Rubin,happiness project,love
The Man in the High Castle,Philip K. Dick,man high castle,surprise
The Girl Who Loved Tom Gordon,Stephen King,girl love tom gordon,love
All Creatures Great And Small,James Herriot,creatures great small,love
People of the Book,Geraldine Brooks,people book,love
"So Long, and Thanks for All the Fish",Douglas Adams,long thanks fish,love
The Sweetness at the Bottom of the Pie,Alan Bradley,sweetness bottom pie,love
"Saga, Volume One","Brian K. Vaughan, Fiona Staples",saga volume one,surprise
The Witch of Blackbird Pond,Elizabeth George Speare,witch blackbird pond,surprise
The Summer I Turned Pretty,Jenny Han,summer turn pretty,surprise
Far from the Madding Crowd,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",far madding crowd,surprise
90 Minutes in Heaven,"Don Piper, Cecil Murphey",minute heaven,love
The Great Divorce,C.S. Lewis,great divorce,love
Also sprach Zarathustra,"Friedrich Nietzsche, Walter Kaufmann",also sprach zarathustra,surprise
Ugly Love,Colleen Hoover,ugly love,love
The Moon is a Harsh Mistress,Robert A. Heinlein,moon harsh mistress,surprise
The Forty Rules of Love,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",forty rule love,love
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,aristotle dante discover secret universe,love
世界の終りとハードボイルド・ワンダーランド [Sekai no owari to hādoboirudo wandārando],"Haruki Murakami, Alfred Birnbaum",sekai owari hdoboirudo wandrando,surprise
The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",little engine could,surprise
Someone Like You,Sarah Dessen,someone like,love
Loving Frank,Nancy Horan,love frank,love
Maus II : And Here My Troubles Began ,Art Spiegelman,maus ii trouble begin,surprise
Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,ishmael adventure mind spirit,love
Lover Revealed,J.R. Ward,lover reveal,love
"Never Too Far (Too Far, #2)",Abbi Glines,never far far,love
The Statistical Probability of Love at First Sight,Jennifer E. Smith,statistical probability love first sight,love
Still Life with Woodpecker,Tom Robbins,still life woodpecker,surprise
"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,road less travel new psychology love traditional value spiritual growth,love
All the Pretty Horses,Cormac McCarthy,pretty horse,surprise
Horton Hears a Who!,Dr. Seuss,horton hear,surprise
"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",Simon Winchester,surgeon crowthorne tale murder madness love word,love
The Art of Happiness: A Handbook for Living,"Dalai Lama XIV, Howard C. Cutler",art happiness handbook living,love
Chasing Harry Winston,Lauren Weisberger,chase harry winston,surprise
Have a Little Faith: A True Story,Mitch Albom,little faith true story,love
Emotional Intelligence 2.0,"Travis Bradberry, Jean Greaves, Patrick Lencioni",emotional intelligence,love
Notes from a Small Island,Bill Bryson,note small island,surprise
"Everything, Everything","Nicola Yoon, David Yoon",everything everything,love
Bridget Jones: The Edge of Reason,Helen Fielding,bridget jones edge reason,surprise
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,memoir sherlock holmes,surprise
The Orphan Master's Son,Adam Johnson,orphan master son,surprise
"Lover Enshrined, part one",J.R. Ward,lover enshrine part one,love
"Lover Enshrined, part two",J.R. Ward,lover enshrine part two,love
"Go, Dog. Go!",P.D. Eastman,go dog go,surprise
PostSecret: Extraordinary Confessions from Ordinary Lives,Frank Warren,postsecret extraordinary confession ordinary life,love
The Power of Positive Thinking,Norman Vincent Peale,power positive thinking,love
Crossroads of Twilight,Robert Jordan,crossroad twilight,surprise
Saving The World and Other Extreme Sports,James Patterson,save world extreme sport,love
The House at Pooh Corner,"A.A. Milne, Ernest H. Shepard",house pooh corner,surprise
The Island of Dr. Moreau,H.G. Wells,island dr moreau,surprise
The Sandman: Dream Country,"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",sandman dream country,surprise
Chelsea Chelsea Bang Bang,Chelsea Handler,chelsea chelsea bang bang,surprise
Saving CeeCee Honeycutt,"Beth Hoffman, Jenna Lamia",save ceecee honeycutt,love
Emotional Intelligence,Daniel Goleman,emotional intelligence,love
Eclipse: The Official Illustrated Movie Companion,Mark Cotta Vaz,eclipse official illustrate movie companion,love
Rise of the Evening Star,Brandon Mull,rise evening star,surprise
Without Fail ,"Lee Child, Dick Hill",without fail,love
"Fablehaven: Secrets of the Dragon Sanctuary (Fablehaven, #4)",Brandon Mull,fablehaven secret dragon sanctuary fablehaven,love
Peace Like a River,Leif Enger,peace like river,love
Cross My Heart and Hope to Spy,Ally Carter,cross heart hope spy,love
All Things Bright and Beautiful,James Herriot,thing bright beautiful,love
Fantastic Mr Fox,"Roald Dahl, Quentin Blake",fantastic mr fox,love
Lady Chatterley's Lover,"D.H. Lawrence, Doris Lessing, Chester Brown",lady chatterleys lover,love
My Name Is Lucy Barton,"Elizabeth Strout, Goran Skrobonja",name lucy barton,surprise
The Fall of the House of Usher and Other Writings,"Edgar Allan Poe, Stephen Marlowe",fall house usher writing,surprise
At Home: A Short History of Private Life,Bill Bryson,home short history private life,surprise
"Rødstrupe (Harry Hole, #3) ","Jo Nesbø, Don Bartlett",rdstrupe harry hole,surprise
The Tenant of Wildfell Hall,"Anne Brontë, Stevie Davies",tenant wildfell hall,surprise
Three Wishes,Liane Moriarty,three wish,surprise
Anne Frank Remembered,"Miep Gies, Alison Leslie Gold",anne frank remember,surprise
"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,revolution love corruption ambition,love
A Bear Called Paddington,"Michael Bond, Peggy Fortnum",bear call paddington,surprise
The Hypnotist's Love Story,Liane Moriarty,hypnotist love story,love
Fantasy Lover,Sherrilyn Kenyon,fantasy lover,surprise
Magical Thinking: True Stories,Augusten Burroughs,magical thinking true story,love
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,bird bird instruction writing life,surprise
Best Friends Forever,Jennifer Weiner,best friend forever,love
The Merry Adventures of Robin Hood,Howard Pyle,merry adventure robin hood,love
Faithful Place,Tana French,faithful place,love
Little Town on the Prairie,"Laura Ingalls Wilder, Garth Williams",little town prairie,surprise
Finger Lickin' Fifteen,Janet Evanovich,finger lickin fifteen,surprise
Jewels of the Sun,Nora Roberts,jewel sun,surprise
The Grand Design,"Stephen Hawking, Leonard Mlodinow",grand design,love
"Forever Too Far (Too Far, #3)",Abbi Glines,forever far far,surprise
Harry Potter: Film Wizardry,Brian Sibley,harry potter film wizardry,surprise
Circling the Sun,Paula McLain,circle sun,surprise
Black Like Me,John Howard Griffin,black like,surprise
Bloodsucking Fiends,Christopher Moore,bloodsucking fiend,surprise
The Van Alen Legacy ,Melissa de la Cruz,van alen legacy,surprise
Proof of Heaven: A Neurosurgeon's Journey Into the Afterlife,Eben Alexander,proof heaven neurosurgeon journey afterlife,love
Geek Love,Katherine Dunn,geek love,love
"Daring Greatly : How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,dare greatly courage vulnerable transforms way live love parent lead,love
Code Name Verity,Elizabeth Wein,code name verity,surprise
Shūtur eli sharrī,"Anonymous, N.K. Sandars",shtur eli sharr,surprise
The Complete Tales of Beatrix Potter,Beatrix Potter,complete tale beatrix potter,surprise
"God Bless You, Mr Rosewater or Pearls before Swine",Kurt Vonnegut Jr.,god bless mr rosewater pearl swine,love
P.S. I Still Love You,Jenny Han,p still love,love
A Darker Shade of Magic,"V.E. Schwab, Victoria Schwab",darker shade magic,surprise
The Secret of Ella and Micha,Jessica Sorensen,secret ella micha,surprise
"Love Unscripted (Love, #1)",Tina Reber,love unscripted love,love
Pop Goes the Weasel,James Patterson,pop go weasel,love
"Cry, The Beloved Country",Alan Paton,cry beloved country,surprise
The Lottery: Adventures of the Demon Lover,Shirley Jackson,lottery adventure demon lover,love
Lover Reborn,J.R. Ward,lover reborn,love
Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman",dragon spring dawning,surprise
A Raisin in the Sun,Lorraine Hansberry,raisin sun,surprise
"Saga, Volume Two","Brian K. Vaughan, Fiona Staples",saga volume two,surprise
Le Scaphandre et le Papillon,"Jean-Dominique Bauby, Jeremy Leggatt",le scaphandre et le papillon,surprise
The Life and Times of The Thunderbolt Kid: A Memoir,Bill Bryson,life time thunderbolt kid memoir,surprise
Who's Afraid of Virginia Woolf?,Edward Albee,who afraid virginia woolf,surprise
Destined for an Early Grave,Jeaniene Frost,destine early grave,surprise
The Girl of Fire and Thorns,Rae Carson,girl fire thorn,surprise
By the Shores of Silver Lake,"Laura Ingalls Wilder, Garth Williams",shore silver lake,surprise
The Girl with the Lower Back Tattoo,Amy Schumer,girl low back tattoo,surprise
The New York Trilogy,"Paul Auster, Art Spiegelman",new york trilogy,surprise
The Sandman: Season of Mists,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",sandman season mist,surprise
"The Vincent Brothers (The Vincent Boys, #1)",Abbi Glines,vincent brothers vincent boy,love
"Tinker, Tailor, Soldier, Spy",John le Carré,tinker tailor soldier spy,surprise
Love Story,Erich Segal,love story,love
Del amor y otros demonios,Gabriel García Márquez,del amor otros demonios,love
Only the Good Spy Young,Ally Carter,good spy young,love
Mastering the Art of French Cooking,"Julia Child, Simone Beck, Louisette Bertholle",master art french cooking,surprise
"Confessor (Sword of Truth, #11)",Terry Goodkind,confessor sword truth,surprise
Stumbling on Happiness,Daniel Todd Gilbert,stumble happiness,love
The Greatest Salesman in the World,Og Mandino,great salesman world,love
Mr. Brown Can Moo! Can You?,Dr. Seuss,mr brown moo,surprise
1Q84 Book 1 [Ichi-kyū-hachi-yon],"Haruki Murakami, 村上 春樹",q book ichikyhachiyon,surprise
Peter Pan (Little Golden Book),"Eugene Bradley Coco, Ron Dias, Walt Disney Company",peter pan little golden book,surprise
Ten Tiny Breaths,K.A. Tucker,ten tiny breath,surprise
The Thousand Autumns of Jacob de Zoet,David Mitchell,thousand autumn jacob de zoet,surprise
"The Long Winter (Little House, #6)","Laura Ingalls Wilder, Garth Williams",long winter little house,surprise
These Happy Golden Years,"Laura Ingalls Wilder, Garth Williams",happy golden year,love
The Sweet Far Thing,Libba Bray,sweet far thing,love
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,tiny beautiful thing advice love life dear sugar,love
Beyond the Highland Mist,Karen Marie Moning,beyond highland mist,surprise
Rising Sun,Michael Crichton,rise sun,surprise
Traveling Mercies: Some Thoughts on Faith,Anne Lamott,travel mercy thought faith,love
We Have Always Lived in the Castle,"Shirley Jackson, Jonathan Lethem",always live castle,surprise
Never Go Back ,Lee Child,never go back,love
The Two Princesses of Bamarre,Gail Carson Levine,two princess bamarre,surprise
An Autobiography or The Story of My Experiments with Truth,Mahatma Gandhi,autobiography story experiment truth,surprise
Undaunted Courage,Stephen E. Ambrose,undaunted courage,love
Sweet Tooth,Ian McEwan,sweet tooth,love
"Twisted Perfection (Perfection, #1)",Abbi Glines,twisted perfection perfection,love
One Thousand Gifts,Ann Voskamp,one thousand gift,love
Superman: Red Son,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",superman red son,surprise
The Face on the Milk Carton,Caroline B. Cooney,face milk carton,surprise
Flat-Out Love ,Jessica Park,flatout love,love
Fly Away Home,Jennifer Weiner,fly away home,love
The Virgin's Lover,Philippa Gregory,virgin lover,love
Awake at Dawn,C.C. Hunter,awake dawn,surprise
Danny: The Champion of the World,"Roald Dahl, Quentin Blake",danny champion world,love
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,everyday italian simple delicious recipe,love
I Too Had A Love Story,Ravinder Singh,love story,love
"Saga, Volume Three","Brian K. Vaughan, Fiona Staples",saga volume three,surprise
A Man Without a Country,Kurt Vonnegut Jr.,man without country,surprise
The End of Your Life Bookclub,Will Schwalbe,end life bookclub,surprise
The Four Loves,C.S. Lewis,four love,love
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,boy sneak bedroom window,surprise
Wide Sargasso Sea,Jean Rhys,wide sargasso sea,surprise
"Not a Penny More, Not a Penny Less",Jeffrey Archer,penny penny less,surprise
The First Fifteen Lives of Harry August,Claire North,first fifteen life harry august,surprise
Love Letters to the Dead,Ava Dellaira,love letter dead,love
A Town Like Alice,Nevil Shute,town like alice,love
The Gashlycrumb Tinies,Edward Gorey,gashlycrumb tinies,surprise
What We Talk About When We Talk About Love: Stories,Raymond Carver,talk talk love story,love
Mistborn Trilogy Boxed Set,Brandon Sanderson,mistborn trilogy box set,surprise
美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],Naoko Takeuchi,bishjo senshi sailor moon,surprise
Nine Princes in Amber,Roger Zelazny,nine prince amber,surprise
Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,official book club selection memoir accord kathy griffin,love
Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own In A Relationship,Sherry Argov,men love bitch doormat dreamgirl woman guide hold relationship,love
The Outlaw Demon Wails ,Kim Harrison,outlaw demon wail,surprise
The Art of Loving,"Erich Fromm, Peter D. Kramer, Rainer Funk",art love,love
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,flow psychology optimal experience,surprise
Super Sad True Love Story,Gary Shteyngart,super sad true love story,love
This Is What Happy Looks Like,Jennifer E. Smith,happy look like,love
What's So Amazing About Grace?,Philip Yancey,whats amaze grace,surprise
Bokhandleren i Kabul,"Åsne Seierstad, Ingrid Christopherson",bokhandleren kabul,surprise
Ramona the Brave ,"Beverly Cleary, Alan Tiegreen",ramona brave,love
Frog and Toad Together,Arnold Lobel,frog toad together,surprise
El amante japonés,"Isabel Allende, Nick Caistor, Amanda Hopkinson",el amante japons,surprise
Peony in Love,Lisa See,peony love,love
Twenty Boy Summer,Sarah Ockler,twenty boy summer,surprise
Mindset: The New Psychology of Success,Carol S. Dweck,mindset new psychology success,love
"Beyond the Grave (The 39 Clues, #4)",Jude Watson,beyond grave clue,surprise
The Paper Bag Princess,"Robert Munsch, Michael Martchenko",paper bag princess,surprise
King Solomon's Mines,H. Rider Haggard,king solomon mine,surprise
Love Unrehearsed,Tina Reber,love unrehearsed,love
The People of Sparks,Jeanne DuPrau,people spark,love
A Hunger Like No Other,Kresley Cole,hunger like,surprise
A Million Suns ,Beth Revis,million sun,surprise
Anne of Windy Poplars,L.M. Montgomery,anne windy poplar,surprise
The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,snowball warren buffett business life,surprise
Missing Υou,Harlan Coben,miss ou,love
Dearly Devoted Dexter,Jeff Lindsay,dearly devote dexter,love
"The Realms of the Gods (Immortals, #4)",Tamora Pierce,realm god immortal,love
"Saga, Volume Four","Brian K. Vaughan, Fiona Staples",saga volume four,surprise
Chicken Soup for the Soul,"Jack Canfield, Mark Victor Hansen",chicken soup soul,surprise
Pursuit of Honor,Vince Flynn,pursuit honor,love
Tales from a Not-So-Popular Party Girl,Rachel Renée Russell,tale notsopopular party girl,love
Born Free: A Lioness of Two Worlds,Joy Adamson,bear free lioness two world,love
Confessiones Sancti Patris nostri Augustini,"Augustine of Hippo, Henry Chadwick, Albert Cook Outler",confessiones sancti patris nostri augustini,love
An Astronaut’s Guide to Life on Earth,Chris Hadfield,astronauts guide life earth,surprise
Gone for Good,Harlan Coben,go good,love
Just So Stories for Little Children,Rudyard Kipling,story little child,surprise
The Hundred Secret Senses,Amy Tan,hundred secret sens,surprise
Pretty Baby,Mary Kubica,pretty baby,surprise
Skulduggery Pleasant,"Derek Landy, Tom Percival",skulduggery pleasant,love
Desiring God: Meditations of a Christian Hedonist,John Piper,desire god meditation christian hedonist,love
Girl in Hyacinth Blue,Susan Vreeland,girl hyacinth blue,surprise
Le Père Goriot,Honoré de Balzac,le pre goriot,love
The Sandman: The Kindly Ones,"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",sandman kindly one,love
The Mastery of Love: A Practical Guide to the Art of Relationship (Toltec Wisdom Book),Miguel Ruiz,mastery love practical guide art relationship toltec wisdom book,love
Who Do You Love,Jennifer Weiner,love,love
Enduring Love,Ian McEwan,endure love,love
"First Things First: To Live, to Love, to Learn, to Leave a Legacy","Stephen R. Covey, A. Roger Merrill, Rebecca R. Merrill",first thing first live love learn leave legacy,love
Al Capone Does My Shirts,Gennifer Choldenko,al capone shirt,surprise
Love & Misadventure,Lang Leav,love misadventure,love
"Crooked Letter, Crooked Letter",Tom Franklin,crooked letter crook letter,surprise
Briefe an einen jungen Dichter,"Rainer Maria Rilke, Reginald Snell, Franz Xaver Kappus",briefe einen jungen dichter,surprise
Princess in the Spotlight,Meg Cabot,princess spotlight,surprise
The Coldest Winter Ever,Sister Souljah,cold winter ever,surprise
"This Side of the Grave (Night Huntress, #5)",Jeaniene Frost,side grave night huntress,surprise
Flora and Ulysses: The Illuminated Adventures,"Kate DiCamillo, K.G. Campbell",flora ulysses illuminated adventure,surprise
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear","Don    Wood, Audrey Wood",little mouse red ripe strawberry big hungry bear,surprise
First Drop of Crimson,Jeaniene Frost,first drop crimson,surprise
"Love Comes Softly (Love Comes Softly, #1)",Janette Oke,love come softly love come softly,love
Gulp: Adventures on the Alimentary Canal,Mary Roach,gulp adventure alimentary canal,surprise
The Tender Bar: A Memoir,J.R. Moehringer,tender bar memoir,surprise
Misty of Chincoteague,"Marguerite Henry, Wesley Dennis",misty chincoteague,surprise
His Excellency: George Washington,Joseph J. Ellis,excellency george washington,love
Burning Chrome and Other Stories,"William Gibson, Bruce Sterling",burn chrome story,surprise
Last Night at Chateau Marmont,Lauren Weisberger,last night chateau marmont,surprise
Princess in Love,Meg Cabot,princess love,love
Truth & Beauty: A Friendship,Ann Patchett,truth beauty friendship,love
The Return of Sherlock Holmes,Arthur Conan Doyle,return sherlock holmes,surprise
